accountsservice 0.6.55-3
xorg-twm 1.0.11-1
xorg-xinit 1.4.1-3
xorg-xkill 1.0.5-2
yarn 1.22.17-1
yay 11.0.2-1
youtube-dl 2021.06.06-1
zensu 0.3-3
zsh 5.8-1
zsh-autosuggestions 0.7.0-1
zsh-syntax-highlighting 0.7.1-1
zsh-theme-powerlevel10k 1.15.0+66+g3e515a7-1
